No;name;description;Bahan_Masakan;Bahan_Utama;Cara_Masak;Usia_Min;Usia_Max;Tekstur;Est_Harga;Kalori_(kkal);Protein_(g);Lemak_(g);Zat_Besi_(mg);Seng_(mg);Tag_Makanan;Potensi_Alergi;Image_URL
11;Bubur Daging Ayam Brokoli Lembut;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bubur Daging Ayam Brokoli Lembut**. Menu ini diformulasikan khusus untuk usia 8 bulan dengan fokus pada peninggi badan. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 30 g dada ayam cincang 

- 2 sdm beras putih 

- 3 kuntum brokoli kecil 

- 200 ml air kaldu ayam tanpa garam";Daging Ayam, Nasi;"- Cuci beras hingga bersih dan rendam selama 15 menit.

- Potong kecil dada ayam dan brokoli agar mudah matang.

- Didihkan air kaldu ayam di panci kecil.

- Masukkan ayam cincang dan masak hingga berubah warna.

- Tambahkan beras dan brokoli, aduk perlahan hingga tekstur mulai lembut.

- Masak hingga menjadi bubur dengan api kecil sekitar 20 menit.

- Haluskan dengan blender atau saringan hingga lembut sesuai usia bayi.

- Dinginkan sebentar sebelum disajikan agar tidak terlalu panas.";8;10;Bubur Kasar;7500;120;12;4,5;1,2;0,8;Peninggi Badan;Daging Ayam, Nasi;recipes/bubur_daging_ayam_brokoli_lembut.jpg
12;Sup Daging Ayam Jagung Kalimantan;Sebagai asupan gizi seimbang, menu **Sup Daging Ayam Jagung Kalimantan** ini sangat saya rekomendasikan untuk si Kecil usia 10 bulan ke atas. Kandungan protein 12.0g dan zat besi 1.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 50 g ayam cincang halus

- 2 sdm jagung manis pipil

- 1 sdm wortel parut

- 250 ml air kaldu ayam

- 1 sdt minyak zaitun";Daging Ayam, Jagung;"- Panaskan minyak zaitun dalam panci kecil.

- Masukkan ayam cincang dan tumis hingga berubah warna.

- Tambahkan wortel parut dan jagung manis, aduk rata.

- Tuangkan air kaldu ayam dan masak dengan api kecil.

- Biarkan hingga semua bahan lunak dan matang sempurna.

- Haluskan sebagian sup dengan blender jika bayi masih kecil.

- Masukkan kembali hasil halusan ke dalam panci dan aduk rata.

- Dinginkan hingga suhu aman sebelum disajikan.";10;24;Cincang Halus;9000;150;12;5;1,5;1;Gizi Seimbang;Daging Ayam, Jagung ;recipes/sup_daging_ayam_jagung_kalimantan.jpg
13;Pepes Daging Ayam Tahu MPASI;Bunda, menu **Pepes Daging Ayam Tahu MPASI** adalah pilihan cerdas untuk fase tumbuh kembang usia 12 bulan. Dengan profil nutrisi yang kaya (13.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan keluarga sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 200 gr Ayam 

- 1 kotak kecil Tahu 

- 2 batang Daun kemangi (cuci bersih) 

- 2 buah daun salam 

- 2 buah daun jeruk 

- 2 siung bamer 

- 2 siung baput 

- 1 ruas kunyit 

- 1 buah tomat 

- Sedikit merica 

- Secukupnya Kaldu sapi mpasi 

- Secukupnya garam 

- Sedikit ketumbar";Daging Ayam;"- Bumbu halus ditumis sampe harum kemudian masukkan ayam. Tambahkan daun salam, daun jeruk. Kemudian tambahkan bumbu, koreksi rasanya. Kalo sudah pas matikan kompor dan dinginkan

- Hancurkan tahu di wadah (aku pake garpu biasa aja), tambahkan tumisan ayam yg udh dingin tadi, kemudian tambahkan kemangi yg udah di cuci bersih. Aduk sampai rata cicipin rasanya. Kalo udh pas tinggal dimasukkan ke daun pisang kecil�. Kukus � 30menit.";12;24;Nasi Lembek;8000;130;13;5,5;1,8;1,1;Peninggi Badan;Daging Ayam, Tahu;recipes/pepes_daging_ayam_tahu_mpasi.jpg
14;Dimsum Daging Ayam Labu Siam;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Dimsum Daging Ayam Labu Siam**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada penambah berat badan. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- Komponen Gizi Jumlah Perkiraan Sumber Utama 

- 1/4 kg dada ayam 

- 1/2 buah labu siam uk. sedang 

- 1/2 sdt garam 

- 1 sdt kaldu bubuk 

- 1/2 sdt lada bubuk 

- 2 siung bawang putih 

- 1 batang daun bawang 

- 1 batang daun prei 

- 1 sdm terigu 

- 1 sdm kanji/tapioka (adonan untuk dewasa ditambah ini) 

- 20 pcs kulit pangsit/dimsum";Daging Ayam;"- Potong kasar dada ayam, labu siam, bangput, daun prei, kalo daun bawang iris kecil untuk taburan adonan terakhir 

- Campur garam, lada bubuk, kaldu bubuk, air es 1/2 gelas kecil ke dalam chopper tadi, chopper 2 menitan lalu isi kulit dimsum deh 

- Kalo untuk dewasa kasih tepung terigu dan tapioka/kanji tadi ya. Kalo aku bikin langsung tak paruh 1/2 adonan real daging ayam untuk kids friendly dan 1/2 adonan dicampur tepung untuk orangtuanya. Jadi sekitar 20 pcs dimsum kukus 15 menitan angkat deh cocol sama saos atau dimakan gitu aja udah sedep. Catatan: kalo untuk jualan kasih minyak wijen, saos tiram, minyak ikan makin sedep karena untuk mpasi anak jadi aku bahan seadanya di rumah hehe. Selamat mencoba";10;24;Makanan Jari;12000;195;21;6;1,2;1;Penambah Berat Badan;Daging Ayam, Tahu;recipes/dimsum_daging_ayam_labu_siam.jpg
15;Abon Daging Ayam (Isian Lemper);Sebagai asupan peninggi badan, menu **Abon Daging Ayam (Isian Lemper)** ini sangat saya rekomendasikan untuk si Kecil usia 7 bulan ke atas. Kandungan protein 12.0g dan zat besi 1.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 500 gr dada ayam 

- 2 batang sereh 

- 3 lembar daun salam 

- 2 lembar daun jeruk 

- 7 siung bawang merah 

- 3 siung bawang putih 

- 3 ruas lengkuas 

- 2 batang sereh, diiris 

- 1 ruas jahe 

- 2 ruas kunyit 

- 65 ml santan instan 

- 1-2 sdm gula jawa 

- 1/4 sdt garam 

- 1/4 sdt penyedap 

- 1/4 sdt gula pasir rose brand";Daging Ayam;"- Siapkan bahan-bahan 

- Rebus dada ayam sampai matang bersama dengan sereh, salam dan daun jeruk 

- Suwir kecil� dada ayam sampai habis 

- Tumis bumbu halus tambahkan santan aduk merata. Baru tambahkan gula, garam dan penyedap. Aduk kembali. 

- Tambahkan suwiran dada ayam aduk kembali hingga merata. Kecilkan api kompor aduk sesekali sampai benar� mengering. Jika ingin tekstur lebih halus bisa dichopper lagi dan dimasak lagi hingga kering. 

- Ini saya setelah dichopper dimasak kembali sampai kering. 

- Abon ayam siap dihidangkan. Selamat mencoba";7;24;Bubur Halus;20000;100;12;4;1;0,9;Peninggi Badan;Daging Ayam;recipes/abon_daging_ayam.jpg
16;Tumis Daging Ayam Tomat Tauge;Bunda, menu **Tumis Daging Ayam Tomat Tauge** adalah pilihan cerdas untuk fase tumbuh kembang usia 11 bulan. Dengan profil nutrisi yang kaya (20.3g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur cincang kasar sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 60 gram daging ayam giling 

- 1 buah tomat merah, buang biji, potong2 

- 20 gram tauge 

- 1 sdt bawang bombay cincang 

- 1 jari telunjuk daun bawang, iris tipis 

- 1/4 sdt ketumbar bubuk 

- 100 ml air";Daging Ayam;"- Tumis daging ayam tanpa minyak hingga berubah warna. 

- Masukkan bawang bombay, tomat, daun bawang dan ketumbar bubuk. 

- Aduk rata, tambahkan air, masak hingga mendidih. 

- Masukkan tauge, masak hingga semuanya matang dan empuk";11;24;Nasi Lembek;9500;128;20,3;2,5;1,25;1,1;Peninggi Badan;Daging Ayam;recipes/tumis_daging_ayam_tomat_tauge.jpg
17;Perkedel Daging Ayam Sayur Kukus;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Perkedel Daging Ayam Sayur Kukus**. Menu ini diformulasikan khusus untuk usia 11 bulan dengan fokus pada peninggi badan. Zat besi 1.7mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 20 gram kuntum brokoli 

- 20 gram buncis, potong2 

- Perkedel Ayam 

- 60 gram kentang, potong2, kukus, haluskan 

- 60 gram daging ayam giling 

- 1 butir telur puyuh 

- 1 siung bawang putih ukuran kecil, cincang halus 

- 1 jari telunjuk daun bawang, iris tipis";Daging Ayam, Kentang;"- Campur dan aduk rata kentang, daging ayam, telur puyuh, bawang putih dan daun bawang. 

- Bentuk sesuai selera sebanyak 9 potong. 

- Masak di atas teflon tanpa minyak hingga matang. 

- Kukus brokoli dan buncis selama 15 menit.";11;24;Makanan Jari;10000;184;22,2;3,3;1,7;1,2;Peninggi Badan;Daging Ayam, Kentang, Telur Puyuh;recipes/perkedel_daging_ayam_sayur_kukus.jpg
18;Nasi Tim Kuah Soup Daging Ayam;Sebagai asupan penambah berat badan, menu **Nasi Tim Kuah Soup Daging Ayam** ini sangat saya rekomendasikan untuk si Kecil usia 11 bulan ke atas. Kandungan protein 14.9g dan zat besi 1.8mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur nasi tim-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 1 sdm beras

- 5 cm daging ayam (bagian dada, iris dadu kecil)

- 2 cm wortel (parut)

- 1/3 kentang ukuran sedang

- 2 kuncup brokoli hijau (rendam garam, lalu iris sedikit tipis)

- 2 butir telur puyuh

- 1 sdt kaldu bubuk

- 1/3 sdt garam

- 1 sdm minyak sayur

- 1 siung bawang putih (iris tipis/cincang halus)

- 1/3 sdt bumbu soup halus

- 300 ml air";Nasi, Daging Ayam;"- Masukkan minyak dan tumis daging ayam setengah masak lalu campur dengan bawang putih hingga wangi (api kecil). 

- Setelah wangi, masukkan air. Ketika sudah mendidih masukkan beras, wortel, brokoli, kentang, telur puyuh (yang sudah kocok lepas), perbumbuan. 

- Sesekali diaduk agar bagian bawah tidak lengket. Tunggu hingga matang. 

- Nasi siap dihidangkan dengan cinta";11;18;Nasi Tim;11000;311;14,9;17,2;1,8;1,4;Penambah Berat Badan;Daging Ayam, Kentang, Telur puyuh;recipes/nasi_tim_kuah_soup_daging_ayam.jpg
19;Daging Ayam Pop MPASI;Bunda, menu **Daging Ayam Pop MPASI** adalah pilihan cerdas untuk fase tumbuh kembang usia 12 bulan. Dengan profil nutrisi yang kaya (31.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan keluarga sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 4 potong ayam

- 1 buah wortel (opsional)

- 35 ml santan kental

- 1 batang sereh

- 1 ruas jari lengkuas

- 1/2 ruas jari jahe

- 3 lembar daun jeruk

- 1 lembar daun salam

- 2 siung bawang merah (saya tambahkan sedikit bawang bombai)

- 1 siung bawah putih

- Garam, gula, penyedap";Daging Ayam;"- Cincang halus bawang merah, bawang putih dan bawang bombai. Tumis di apir kecil hingga harum. Kemudian masukan sereh, lengkuas, jahe, daun salam dan daun jeruk

- Jika bumbu sudah layu dan harum, masukkan potongan ayam dan wortel, tambahkan air hingga semua potongan ayam terendam. Tutup hingga 15 menit

- Jika ayam sudah mulai empuk, masukkan santan, garam, gula dan penyedap. Tambahkan lada bubuk dan koreksi rasa

- Tutup panci kembali dan diamkan kurang lebih 15 menit atau hingga ayam empuk.

- Siap disajikan";12;24;Makanan Keluarga;13000;211;31,5;6,6;1,5;1,3;Peninggi Badan;Daging Ayam;recipes/daging_ayam_pop_mpasi.jpg
20;Nasi Lembek Baso Ayam Sayuran;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Nasi Lembek Baso Ayam Sayuran**. Menu ini diformulasikan khusus untuk usia 9 bulan dengan fokus pada penambah berat badan. Zat besi 2.1mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- Nasi Lembek Gurih

- 45 gram beras

- 450 ml air

- 50 gram santan

- 1 lembar daun jeruk

- ?? Baso Ayam Sayuran

- 45 gram daging ayam giling

- 25 gram kuntum brokoli

- 25 gram buncis

- 1 siung bawang putih ukuran kecil, cincang halus

- 1 jari telunjuk daun bawang, iris tipis

- 200 ml air";Daging Ayam;"- Nasi Lembek Gurih : Rebus air hingga mendidih. Masukkan beras, masak hingga matang. Masukkan daun jeruk dan santan, aduk rata. Masak hingga sat. Kukus selama 15 menit. Bagi tiga dan masukkan dalam wadah tertutup. 

- Baso Ayam Sayuran : Ambil 1 kuntum brokoli, cincang halus, campurkan dengan ayam giling dan bawang putih cincang, aduk rata. Bentuk jadi 12 bulatan. Rebus air hingga mendidih. Masukkan baso, masak sekitar 5 menit. Masukkan brokoli, buncis dan daun bawang. Masak dengan api kecil, tutup pan, selama 10 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan, kalau dari kulkas.";9;12;Nasi Lembek;12000;371;14,8;15,6;2,1;1,5;Penambah Berat Badan;Nasi, Daging Ayam;recipes/nasi_lembek_baso_ayam_sayuran.jpg
21;Sop Lobak Tuna Tempe;Sebagai asupan peninggi badan, menu **Sop Lobak Tuna Tempe** ini sangat saya rekomendasikan untuk si Kecil usia 9 bulan ke atas. Kandungan protein 5.8g dan zat besi 1.2mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 45gram jagung pipil

- 45gram fillet tuna, potong2

- 15gram lobak, potong2

- 15gram tempe, potong2

- 1 siung bawang putih ukuran kecil, iris tipis

- 1 buah bawang merah ukuran kecil, iris tipis

- 1 jari telunjuk daun bawang, iris tipis

- 100 ml air";Ikan Tuna, Jagung;"- Siapkan bahan2nya. 

- Masukkan ke dalam wadah tahan panas bawang putih, bawang merah, tuna, lobak, tempe dan daun bawang. Tambahkan air. 

- Kukus jagung dan sop selama 20 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan kalau dari kulkas.";9;12;Nasi Lembek;9000;145;5,8;2,8;1,2;0,8;Peninggi Badan;Jagung, Ikan Tuna, Tempe;recipes/sop_lobak_tuna_tempe.jpg
22;Nasi Lembek Tuna Santan;Bunda, menu **Nasi Lembek Tuna Santan** adalah pilihan cerdas untuk fase tumbuh kembang usia 8 bulan. Dengan profil nutrisi yang kaya (6.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kasar sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 45gram beras

- 45gram fillet tuna

- 15gram labu siam, cincang

- 15 gram buncis, iris tipis

- 1 siung bawang putih ukuran kecil, iris tipis

- 1 buah bawang merah ukuran kecil, iris tipis

- 1 jari telunjuk daun bawang, iris tipis

- 50gram santan

- 500 ml air";Nasi, Ikan Tuna;"- Rebus air hingga mendidih. Masukkan beras, masak hingga matang. 

- Masukkan ke dalam wadah tahan panas bawang putih, bawang merah, daun bawang, buncis, tuna, labu siam dan santan. 

- Kukus nasi dan tuna selama 15 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan kalau dari kulkas.";8;12;Bubur Kasar;9500;180;6;6,3;1,1;0,7;Penambah Berat Badan;Ikan Tuna, Labu;recipes/nasi_lembek_tuna_santan.jpg
23;Nasi Lembek Tuna Tumis Sayur;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Nasi Lembek Tuna Tumis Sayur**. Menu ini diformulasikan khusus untuk usia 8 bulan dengan fokus pada peninggi badan. Zat besi 1.0mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 45gram beras

- 45gram fillet tuna, cincang

- 15gram wortel, cincang

- 15 gram kacang panjang, iris tipis

- 1 siung bawang putih ukuran kecil, cincang halus

- 1 lembar daun salam

- 1 lembar daun jeruk

- 1 ruas kecil kunyit, geprek

- 700 ml air";Nasi, Ikan Tuna;"- Rebus 500 ml air hingga mendidih. Masukkan beras, masak hingga matang. Kukus selama 15 menit. Bagi tiga dan masukkan dalam wadah tertutup. 

- Tumis bawang putih, kunyit, daun salam dan daun jeruk tanpa minyak hingga wangi. Masukkan tuna, masak hingga berubah warna. Tambahkan air, masak hingga mendidih. Masukkan wortel dan kacang panjang, masak hingga matang dan air hampir habis. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan, kalau dari kulkas.";8;12;Bubur Kasar;9000;120;5,5;3;1;0,6;Peninggi Badan;Ikan Tuna, Kacang Panjang;recipes/nasi_lembek_tuna_tumis_sayur.jpg
